Text,Language
Thimo cia Gîkûyû nî nyingî mûno ona nî makîria ma Ngiri îmwe.,Kikuyu
Thimo cia Gîkûyû nî nyingî mûno ona nî makîria ma Ngiri îmwe.,Kikuyu
Na ningî imwe nî njerû okûringana na ûrîa rûthiomi rûthîite rûgîcemanagia na maûndû merû.,Kikuyu
Na ningî imwe nî njerû okûringana na ûrîa rûthiomi rûthîite rûgîcemanagia na maûndû merû.,Kikuyu
Mwandîki ûyû nî aroria na gîtîo mûno atî wona thimo wîna ûûma atî ûrîa yand,Kikuyu
îkîtwo haha tigwo yugagwo ûtûteithîrîria na kwandîka ûrîa yagîrîirwo hau ha macokio na nî îkwandîkwo ûrîa yagîrîire. (,Kikuyu
Kikuyu Proverbs - Thimo Ngiri îmwe cia Gîkûyû,Kikuyu
Aka erî nî nyûngû igîrî cia ûrogi,Kikuyu
Aka matirî cia ndiiro no cia nyanîko,Kikuyu
Cia mûciî irî gacûgûma gacio gatathûkagio nî mûthuri ûngî tiga mweneguo,Kikuyu
Ciathanaga ikîûmba no ikîûmbûka o kaihû na kwao,Kikuyu
Cira mûnene nî wa ûthoni ûgîkua,Kikuyu
Ciunagwo rûkomo kîmenyi akamenya ikiunwo G,Kikuyu
Gatamî karî mondo yene gatingîkûratîra nguo,Kikuyu
Gatitû ka mûimwo nî irî noko karî mîtî.,Kikuyu
Gîkuû kîa nûgû gîakinya mîtî yothe nî îtenderaga.,Kikuyu
"Gîthaka gîkwania mbwe, kîendaga andû mendaine.",Kikuyu
Gîtiiro kîa mûka wene kîamûkagîrwo athiî,Kikuyu
Gûciara ûru ti kwenda Kwa mwene,Kikuyu
Gũkũra nĩ kũũru; ngathiî ũrĩrĩ ngĩcayaga,Kikuyu
Gũtema na kanua ti gĩtema na rũhiũ,Kikuyu
Gũthekererwo nĩ andũ ti kũrĩrĩrwo nĩ hiti,Kikuyu
Gũthura ng’ombe nĩ gũthura kamũkwa kayo,Kikuyu
Gûtirî îrî mûkanye îkanyagîra îrîa îngî.,Kikuyu
Gũtirĩ ita rîthiagwo na gĩtete kĩa njohi no gĩa ũcũrũ,Kikuyu
Gũtirĩ mbura ĩtarĩ na gĩtonga kĩayo,Kikuyu
Gũtirĩ mũciĩ ũrĩ kahĩĩ ũtakarigwo mũtwe,Kikuyu
Gũtirĩ mũndũ ũĩ harĩa egũthiĩ no harĩa ekuuma,Kikuyu
Gũtirĩ mũndũ wendaga gũtũngana na nyoni njũru,Kikuyu
"Gũtirĩ mũndũ wonaga wega wake, no kuonwo wonagwo",Kikuyu
Gũtirĩ mũthenya ũkĩaga ta ũrĩa ũngĩ,Kikuyu
Gũtirĩ mũtumia wenjagĩrwo mbuĩ kwa nyina,Kikuyu
Gũtirĩ ũikagia itimũ atarĩ na harĩa akũratha,Kikuyu
Gũtirĩ ũrĩragio nĩ ũtonga no ũkĩa,Kikuyu
"Gũtirĩ ũru ũtũũraga, no wega ũtũũraga",Kikuyu
Gũtirĩ wa nda na wa mũgongo,Kikuyu
Gũtirĩ wĩriraga agĩkuua ta akĩiga thĩ,Kikuyu
Gũtirĩ wĩtaga ithe wa ũngĩ baba,Kikuyu
Handũ ha njũgũma na ha mũgwĩ hatiganaine,Kikuyu
Haro nĩ ya mũka ũrĩ ĩhĩĩ,Kikuyu
Haro nĩ ya mũka ũrĩ thirĩ,Kikuyu
Hiti ĩtaga ĩrĩa ĩngĩ wa mũtĩrĩ,Kikuyu
"Hiti ndĩrĩaga mwana, na mũĩ ũrĩa ĩrĩ ngoroku",Kikuyu
Hũngũ ĩgĩthiĩ igũrũ ndĩatigire thĩ kũrĩ kwega,Kikuyu
Igai rĩa mũtũndũ rĩtigiragia kĩrĩti kiunwo,Kikuyu
Ihiga rĩega rĩtiringanaga na thĩo njega,Kikuyu
Îkûhîtia na mûgwî ndîrathaga na njoya,Kikuyu
Îngîhîtia na mûgwî ndîrathaga na njoya,Kikuyu
Irî gîcegû kîmwe nî iminjanagîria rûrua,Kikuyu
Ĩrĩ gũciarĩra riũa-inĩ yongithagĩria o ho.,Kikuyu
Ĩrĩ gũkũra ĩrĩagwo iguku nĩ aka,Kikuyu
Ĩrĩ mũrungu ĩgiritagia ĩrĩ na hĩa,Kikuyu
Ĩrĩ nyite nĩ mũtego ndĩthũire gwĩteithũra,Kikuyu
Ita rîtarî ndundu rîgûthagwo na njûgûma îmwe.,Kikuyu
Îtarî mûting'oe îhuragwo ngi nî Ngai.,Kikuyu
Îtarî thahu îgunagwo nî ikoro rîa njîra.,Kikuyu
Kaana ka ngarĩ gakunyaga ta nyina.,Kikuyu
Kagûrû karî ime gatihana karî mûhu.,Kikuyu
Kagwacî ka mwana wene noko kahoragia mwaki.,Kikuyu
Kahĩĩ kogĩ ta ithe kabaritaga ta mĩgwĩ,Kikuyu
Bobi Wine akimbia Uganda baada ya kujificha kwa miezi miwili,Swahili
Ukraine imeanza mpango wa kupeleka roboti zenye silaha kwenye uwanja wa vita dhidi ya vikosi vya Urusi.,Swahili
Njia nne za kumaliza vita vya IranKiongozi mpya wa Iran anaonekana tayari kufanya maji kuwa silaha ya vita katika eneo hilo.14 Machi 2026,Swahili
Kiongozi mpya wa Iran anaonekana tayari kufanya maji kuwa silaha ya vita katika eneo hilo.,Swahili
Kwa nini Marekani imelenga Kisiwa cha Kharg cha Iran?Kisiwa hicho kidogo kina miundombinu muhimu ya nishati ya Iran.14 Machi 2026,Swahili
Kisiwa hicho kidogo kina miundombinu muhimu ya nishati ya Iran.,Swahili
"Ndege zisizo na rubani, makombora na ndege za kivita zimekuwa jambo la kawaida kwa mabaharia wengi waliokwama kwenye meli eneo la Ghuba.",Swahili
"02:08 Video, Mojtaba Khamenei ndiye kiongozi mkuu mpya wa Iran, Muda 2,08",Swahili
"Video, Mojtaba Khamenei ndiye kiongozi mkuu mpya wa Iran, Muda 2,08",Swahili
Mojtaba Khamenei ndiye kiongozi mkuu mpya wa Iran,Swahili
"01:14 Video, Futari ya halaiki Zanzibar, Muda 1,14",Swahili
"Video, Futari ya halaiki Zanzibar, Muda 1,14",Swahili
"02:27 Video, Nchi inayobadili marais kama nguo, Muda 2,27",Swahili
"Video, Nchi inayobadili marais kama nguo, Muda 2,27",Swahili
"00:57 Video, Afrika itakavyoathirika na vita vya Mashariki ya Kati, Muda 0,57",Swahili
"Video, Afrika itakavyoathirika na vita vya Mashariki ya Kati, Muda 0,57",Swahili
Afrika itakavyoathirika na vita vya Mashariki ya Kati,Swahili
"02:18 Video, Watu hawa 7 hawafai kufunga, Muda 2,18",Swahili
"Video, Watu hawa 7 hawafai kufunga, Muda 2,18",Swahili
"00:59 Video, Kondomu 10,000 zilitumika ndani ya siku chache, Muda 0,59",Swahili
"Video, Kondomu 10,000 zilitumika ndani ya siku chache, Muda 0,59",Swahili
"Kondomu 10,000 zilitumika ndani ya siku chache",Swahili
"02:22 Video, Korea Kaskazini tayari kuongozwa na mwanamke?, Muda 2,22",Swahili
"Video, Korea Kaskazini tayari kuongozwa na mwanamke?, Muda 2,22",Swahili
Korea Kaskazini tayari kuongozwa na mwanamke?,Swahili
"02:59 Video, Siku 100 za Rais Samia zenye uzuri na simanzi, Muda 2,59",Swahili
"Video, Siku 100 za Rais Samia zenye uzuri na simanzi, Muda 2,59",Swahili
Siku 100 za Rais Samia zenye uzuri na simanzi,Swahili
"01:04 Video, Baba alivyoshindwa kujizuia machozi ya furaha, Muda 1,04",Swahili
"Video, Baba alivyoshindwa kujizuia machozi ya furaha, Muda 1,04",Swahili
Baba alivyoshindwa kujizuia machozi ya furaha,Swahili
"01:56 Video, Kamera za siri zilivyotumika kurekodi ngono, Muda 1,56",Swahili
"Video, Kamera za siri zilivyotumika kurekodi ngono, Muda 1,56",Swahili
Kamera za siri zilivyotumika kurekodi ngono,Swahili
"02:08 Video, Soko la mbwa lashambiri Nigeria, Muda 2,08",Swahili
"Video, Soko la mbwa lashambiri Nigeria, Muda 2,08",Swahili
"01:36 Video, BBC Africa Eye yachunguza matukio ya watu kutekwa Tanzania, Muda 1,36",Swahili
"Video, BBC Africa Eye yachunguza matukio ya watu kutekwa Tanzania, Muda 1,36",Swahili
BBC Africa Eye yachunguza matukio ya watu kutekwa Tanzania,Swahili
